column,dtype
age,float64
age_diff,float64
age_fbref,float64
age_tm,float64
assists,int64
assists_per90,float64
assists_per90_pos_z,float64
assists_position_percentile,float64
club,object
club_score,float64
competition_id_tm,object
current_club_id_tm,float64
current_club_name_tm,object
date_of_birth,object
delta_log_market_value_1y,float64
foot,object
g_a,int64
g_a_minus_pk_per90,float64
g_a_per90,float64
goals,int64
goals_minus_pk,int64
goals_minus_pk_per90,float64
goals_per90,float64
goals_per90_pos_z,float64
goals_position_percentile,float64
height_in_cm,float64
league,object
log_market_value_eur,float64
market_value_eur,float64
market_value_growth_1y,float64
market_value_next_eur,float64
market_value_prev_eur,float64
matches_played,int64
matching_confidence,float64
matching_method,object
matching_status,bool
minutes_played,int64
nationality,object
nineties,float64
penalties_attempted,int64
penalties_scored,int64
player_id_tm,float64
player_name_fbref,object
player_name_norm,object
player_name_tm,object
position,object
position_group,object
position_tm,object
red_cards,int64
season,object
season_start_year,int64
season_start_year_fbref,int64
season_start_year_tm,float64
shots_per90_pos_z,float64
source,object
starts,int64
sub_position_tm,object
valuation_date,datetime64[us]
yellow_cards,int64
