model,feature_set,original_feature,importance,max_component_importance,n_components,rank
LightGBM,B_v13B_advanced,age,2361,2361,1,1
LightGBM,B_v13B_advanced,availability_index,1982,1982,1,2
LightGBM,B_v13B_advanced,defensive_activity_index,1927,1927,1,3
LightGBM,B_v13B_advanced,finishing_index_v2,1900,1900,1,4
LightGBM,B_v13B_advanced,minutes_played,1708,1708,1,5
LightGBM,B_v13B_advanced,g_a_per90,1204,1204,1,6
LightGBM,B_v13B_advanced,league,1131,146,11,7
LightGBM,B_v13B_advanced,assists_per90,995,995,1,8
LightGBM,B_v13B_advanced,goals_per90,978,978,1,9
LightGBM,B_v13B_advanced,log_minutes_played,462,462,1,10
LightGBM,B_v13B_advanced,position_group,352,149,4,11
