player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Lasse Rosenboom,Lasse Rosenboom,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,4800040.915959416,4300040.915959416,5.0,2.3196196230899084,10.994299876987418,95.38333333333334,90.36259147066542,target_scouting,1.0,exact_age_club_validated
Eren Dinkçi,Eren Dinkçi,Heidenheim,Bundesliga,2023-2024,MID,21.84531143052704,2650,3000000.0,9922723.61955824,6922723.619558239,2.3075745398527463,1.42560846692068,45.70105279109474,86.41666666666667,85.82619892902014,target_scouting,0.85,exact_age_validated
Lukas Ullrich,Lukas Ullrich,Gladbach,Bundesliga,2024-2025,DEF,20.76386036960985,1903,3000000.0,5108477.640074883,2108477.6400748827,0.7028258800249609,0.6521715333079976,55.314543190906775,86.41666666666667,78.02900908476386,high_priority,0.85,exact_age_validated
Johan Manzambi,Johan Manzambi,Freiburg,Bundesliga,2024-2025,MID,18.98699520876112,335,750000.0,4168384.047145178,3418384.047145178,4.557845396193571,2.030209251742749,38.61821727292495,57.93055555555557,78.01963153014428,high_priority,0.85,exact_age_validated
Rocco Reitz,Rocco Reitz,Gladbach,Bundesliga,2023-2024,MID,21.388090349075977,2136,4000000.0,5623377.387520007,1623377.3875200069,0.4058443468800017,0.4289086729881923,63.892339247839104,86.41666666666667,77.96793832133194,high_priority,0.85,exact_age_validated
Chrislain Matsima,Chrislain Matsima,Augsburg,Bundesliga,2024-2025,DEF,22.60095824777549,2551,7000000.0,24362898.99285207,17362898.99285207,2.4804141418360097,1.4849462419621602,8.172424765273277,94.75,76.65559046842526,high_priority,0.85,exact_age_validated
Tiago Tomás,Tiago Tomás,Wolfsburg,Bundesliga,2024-2025,MID,22.51334702258727,1884,9000000.0,26174337.39556801,17174337.395568006,1.908259710618668,1.275726372914448,16.237031056905707,92.25,75.37395189902647,high_priority,0.85,exact_age_validated
Tim Oermann,Tim Oermann,Bochum,Bundesliga,2024-2025,DEF,21.20739219712525,2213,4000000.0,12943444.4776995,8943444.477699501,2.235861119424875,1.400072799358827,10.053674839749371,93.08333333333334,75.28887440653477,high_priority,0.85,exact_age_validated
Ansgar Knauff,Ansgar Knauff,Eintracht Frankfurt,Bundesliga,2023-2024,MID,21.924709103353862,2109,8000000.0,21480905.882147383,13480905.882147385,1.6851132352684228,1.1827265661495268,9.113049802511323,100.0,75.13841174091424,high_priority,1.0,exact_age_club_validated
Nick Woltemade,Nick Woltemade,Stuttgart,Bundesliga,2024-2025,MID,22.847364818617383,1622,7500000.0,17337459.367792025,9837459.367792023,1.3116612490389368,1.008268581675367,31.596480628480613,85.24722222222222,73.76159183493272,high_priority,0.85,exact_age_validated
